method,level,dist,n_runs,reward_mean,completion_mean,L90_mean,L95_mean,L98_mean,collision_rate,timeout_rate,overlap_mean,steps95_mean
BCP,easy,gaussian,1,218.6755052315337,0.5365853905677795,-1.0,-1.0,-1.0,0.0,1.0,31912.0,
JUMP,easy,gaussian,1,-139.19894627055956,0.3414634168148041,-1.0,-1.0,-1.0,1.0,0.0,8785.0,
REACT,easy,gaussian,1,367.5212294645074,0.9512194991111755,1443.4041680644893,1662.1653549681403,-1.0,1.0,0.0,13102.0,36.0
R_SNAKE,easy,gaussian,1,460.5975612785134,0.7560975551605225,-1.0,-1.0,-1.0,0.0,1.0,24670.0,
SNAKE,easy,gaussian,1,564.0073874826942,0.8780487775802612,-1.0,-1.0,-1.0,0.0,1.0,26591.0,
